"LeftTag","RightTag","DataType","Month","Day","Year","Ranch","Part","Recapture","Sex","EstAge","KnownAgeAdj","AdjWt","geometry","Ges","TrdTri","Apr","Fawn","FstMon","Sept","Lac","ranch","MassKg"
583,"584","Capture",11,15,2011,"SAV","N","NO","M",0.5,0.5,50,"c(521237.4931",67.9067809245316,67.9067809245316,0,55.0709075740305,2.57457150518894,42.0894960002043,57.7415460632183,"SAV-N",22.6796
587,"588","Capture",11,15,2011,"SAV","N","NO","M",0.5,0.5,55,"c(521379.4748",67.9067809245316,67.9067809245316,0,55.0709075740305,2.57457150518894,42.0894960002043,57.7415460632183,"SAV-N",24.94756
791,"792","Capture",11,16,2011,"SAV","E","NO","F",0.5,0.5,53,"c(529273.8282",116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,"SAV-N",24.040376
834,"835","Capture",11,16,2011,"SAV","E","NO","M",0.5,0.5,48,"c(527600.1763",116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,"SAV-N",21.772416
862,"863","Capture",11,16,2011,"SAV","E","NO","M",0.5,0.5,45,"c(526994.7562",116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,"SAV-N",20.41164
987,"988","Capture",11,17,2011,"SAV","S","NO","M",0.5,0.5,45,"c(522534.3191",110.754919360159,110.754919360159,0,103.379253666848,0.717474292963743,49.2563082277775,105.087985675782,"SAV-S",20.41164
1093,"1094","Capture",11,17,2011,"SAV","S","NO","M",0.5,0.5,53,"c(521708.9916",94.6108051091433,94.6108051091433,0,71.2297158986331,1.26224142313004,61.8357282280922,124.43631731905,"SAV-S",24.040376
1101,"1102","Capture",11,17,2011,"SAV","S","NO","F",0.5,0.5,49,"c(520808.4588",94.6108051091433,94.6108051091433,0,71.2297158986331,1.26224142313004,61.8357282280922,124.43631731905,"SAV-S",22.226008
2424,"2425","Capture",11,16,2012,"SAV","N","NO","M",0.5,0.5,25,"c(521840.9017",133.974433425814,85.2334737814963,48.7409596443177,119.05669907853,89.6944332793355,41.0883465408115,142.738686895987,"SAV-N",11.3398
2426,"2427","Capture",11,16,2012,"SAV","N","NO","M",0.5,0.5,44,"c(521840.9017",133.974433425814,85.2334737814963,48.7409596443177,119.05669907853,89.6944332793355,41.0883465408115,142.738686895987,"SAV-N",19.958048
2457,"2458","Capture",11,16,2012,"SAV","N","NO","F",0.5,0.5,33,"c(521840.9017",133.974433425814,85.2334737814963,48.7409596443177,119.05669907853,89.6944332793355,41.0883465408115,142.738686895987,"SAV-N",14.968536
2473,"2474","Capture",11,16,2012,"SAV","N","NO","M",0.5,0.5,45,"c(521840.9017",133.974433425814,85.2334737814963,48.7409596443177,119.05669907853,89.6944332793355,41.0883465408115,142.738686895987,"SAV-N",20.41164
2484,"2485","Capture",11,16,2012,"SAV","N","NO","F",0.5,0.5,33,"c(521432.0704",133.974433425814,85.2334737814963,48.7409596443177,119.05669907853,89.6944332793355,41.0883465408115,142.738686895987,"SAV-N",14.968536
2527,"2528","Capture",11,16,2012,"SAV","N","NO","F",0.5,0.5,44,"c(522882.6792",133.974433425814,85.2334737814963,48.7409596443177,119.05669907853,89.6944332793355,41.0883465408115,142.738686895987,"SAV-N",19.958048
2609,"2608","Capture",11,17,2012,"SAV","E","NO","M",0.5,0.5,39,"c(526413.9948",166.511678008363,124.464229969308,42.0474480390549,96.0581288095564,74.959763661027,36.4892119100551,134.886927961023,"SAV-N",17.690088
2676,"2675","Capture",11,17,2012,"SAV","E","NO","M",0.5,0.5,42,"c(525827.3431",152.198252564704,133.525584524905,18.6726680397988,93.6679274216295,70.0815452635288,35.3213791269809,125.58114893036,"SAV-N",19.050864
2679,"2680","Capture",11,17,2012,"SAV","E","NO","F",0.5,0.5,37,"c(526887.281",166.511678008363,124.464229969308,42.0474480390549,96.0581288095564,74.959763661027,36.4892119100551,134.886927961023,"SAV-N",16.782904
2687,"2688","Capture",11,17,2012,"SAV","E","NO","M",0.5,0.5,51,"c(526887.281",166.511678008363,124.464229969308,42.0474480390549,96.0581288095564,74.959763661027,36.4892119100551,134.886927961023,"SAV-N",23.133192
2723,"2722","Capture",11,17,2012,"SAV","E","NO","F",0.5,0.5,23,"c(528637.0821",166.511678008363,124.464229969308,42.0474480390549,96.0581288095564,74.959763661027,36.4892119100551,134.886927961023,"SAV-N",10.432616
3539,"3540","Capture",11,15,2013,"SAV","N","NO","M",0.5,0.5,53,"c(521444.6022",184.901305219711,118.740000924648,66.6447241008282,19.4330794662237,12.9724047482014,125.359145304188,144.473654197965,"SAV-N",24.040376
3547,"3548","Capture",11,15,2013,"SAV","N","NO","M",0.5,0.5,55,"c(521444.6022",184.901305219711,118.740000924648,66.6447241008282,19.4330794662237,12.9724047482014,125.359145304188,144.473654197965,"SAV-N",24.94756
3549,"3550","Capture",11,15,2013,"SAV","N","NO","F",0.5,0.5,51,"c(521355.4028",184.901305219711,118.740000924648,66.6447241008282,19.4330794662237,12.9724047482014,125.359145304188,144.473654197965,"SAV-N",23.133192
3564,"3565","Capture",11,15,2013,"SAV","N","NO","F",0.5,0.5,47,"c(521230.6398",184.901305219711,118.740000924648,66.6447241008282,19.4330794662237,12.9724047482014,125.359145304188,144.473654197965,"SAV-N",21.318824
3743,"3744","Capture",11,16,2013,"SAV","E","NO","F",0.5,0.5,55,"c(525359.0578",244.407275751233,178.035016342998,66.5981190204621,30.4145366596058,9.04727131593972,159.475316748023,187.56812661048,"SAV-N",24.94756
3893,"3894","Capture",11,17,2013,"SAV","S","NO","F",0.5,0.5,30,"c(522254.7197",195.794508791994,140.525905735325,55.6874781250954,30.5837833429687,17.4890188127756,214.889372199774,239.151594417388,"SAV-S",13.60776
4459,"4460","Capture",11,14,2014,"SAV","N","NO","F",0.5,0.5,53,"c(521827.7604",124.215258284821,119.799198582186,4.41605970263481,121.622247068648,77.8339956245327,112.855834656395,244.305259839457,"SAV-N",24.040376
4463,"4464","Capture",11,14,2014,"SAV","N","NO","M",0.5,0.5,54,"c(521572.26",124.215258284821,119.799198582186,4.41605970263481,121.622247068648,77.8339956245327,112.855834656395,244.305259839457,"SAV-N",24.493968
