"LeftTag","RightTag","DataType","Month","Day","Year","Ranch","Part","Recapture","Sex","EstAge","KnownAgeAdj","AdjWt","geometry.x","Ges","TrdTri","Apr","Fawn","FstMon","Sept","Lac","PGes","PTrdTri","PApr","PFawn","PFstMon","PSept","PLac","ranch","MassKg"
550,"551","Capture",11,15,2011,"SAV","N","NO","F",1.5,1.5,89,"c(522053.8569",67.9067809245316,67.9067809245316,0,55.0709075740305,2.57457150518894,42.0894960002043,57.7415460632183,396.607105866075,290.082378476858,106.524727389216,230.7521523498,24.2588442824781,152.425002296863,182.460659132746,"SAV-N",40.369688
587,"2483","Capture",11,16,2012,"SAV","N","YES","M",1.5,1.5,80,"c(521432.0704",133.974433425814,85.2334737814963,48.7409596443177,119.05669907853,89.6944332793355,41.0883465408115,142.738686895987,67.9067809245316,67.9067809245316,0,55.0709075740305,2.57457150518894,42.0894960002043,57.7415460632183,"SAV-N",36.28736
589,"590","Capture",11,15,2011,"SAV","N","NO","F",1.5,1.5,88,"c(521379.4748",67.9067809245316,67.9067809245316,0,55.0709075740305,2.57457150518894,42.0894960002043,57.7415460632183,396.607105866075,290.082378476858,106.524727389216,230.7521523498,24.2588442824781,152.425002296863,182.460659132746,"SAV-N",39.916096
591,"592","Capture",11,15,2011,"SAV","N","NO","M",1.5,1.5,95,"c(521379.4748",67.9067809245316,67.9067809245316,0,55.0709075740305,2.57457150518894,42.0894960002043,57.7415460632183,396.607105866075,290.082378476858,106.524727389216,230.7521523498,24.2588442824781,152.425002296863,182.460659132746,"SAV-N",43.09124
610,"611","Capture",11,15,2011,"SAV","N","NO","M",1.5,1.5,95,"c(521339.8013",67.9067809245316,67.9067809245316,0,55.0709075740305,2.57457150518894,42.0894960002043,57.7415460632183,396.607105866075,290.082378476858,106.524727389216,230.7521523498,24.2588442824781,152.425002296863,182.460659132746,"SAV-N",43.09124
622,"623","Capture",11,15,2011,"SAV","N","NO","M",1.5,1.5,86,"c(521234.9795",67.9067809245316,67.9067809245316,0,55.0709075740305,2.57457150518894,42.0894960002043,57.7415460632183,396.607105866075,290.082378476858,106.524727389216,230.7521523498,24.2588442824781,152.425002296863,182.460659132746,"SAV-N",39.008912
645,"646","Capture",11,15,2011,"SAV","N","NO","F",1.5,1.5,75,"c(521379.4748",67.9067809245316,67.9067809245316,0,55.0709075740305,2.57457150518894,42.0894960002043,57.7415460632183,396.607105866075,290.082378476858,106.524727389216,230.7521523498,24.2588442824781,152.425002296863,182.460659132746,"SAV-N",34.0194
657,"659","Capture",11,15,2011,"SAV","N","NO","F",1.5,1.5,79,"c(520858.3207",67.9067809245316,67.9067809245316,0,55.0709075740305,2.57457150518894,42.0894960002043,57.7415460632183,396.607105866075,290.082378476858,106.524727389216,230.7521523498,24.2588442824781,152.425002296863,182.460659132746,"SAV-N",35.833768
679,"680","Capture",11,15,2011,"SAV","N","NO","M",1.5,1.5,78,"c(521724.8883",67.9067809245316,67.9067809245316,0,55.0709075740305,2.57457150518894,42.0894960002043,57.7415460632183,396.607105866075,290.082378476858,106.524727389216,230.7521523498,24.2588442824781,152.425002296863,182.460659132746,"SAV-N",35.380176
681,"682","Capture",11,15,2011,"SAV","N","NO","F",1.5,1.5,82,"c(521724.8883",67.9067809245316,67.9067809245316,0,55.0709075740305,2.57457150518894,42.0894960002043,57.7415460632183,396.607105866075,290.082378476858,106.524727389216,230.7521523498,24.2588442824781,152.425002296863,182.460659132746,"SAV-N",37.194544
687,"688","Capture",11,15,2011,"SAV","N","NO","F",1.5,1.5,86,"c(521985.2015",67.9067809245316,67.9067809245316,0,55.0709075740305,2.57457150518894,42.0894960002043,57.7415460632183,396.607105866075,290.082378476858,106.524727389216,230.7521523498,24.2588442824781,152.425002296863,182.460659132746,"SAV-N",39.008912
715,"716","Capture",11,15,2011,"SAV","N","NO","F",1.5,1.5,88,"c(522216.5942",67.9067809245316,67.9067809245316,0,55.0709075740305,2.57457150518894,42.0894960002043,57.7415460632183,396.607105866075,290.082378476858,106.524727389216,230.7521523498,24.2588442824781,152.425002296863,182.460659132746,"SAV-N",39.916096
728,"729","Capture",11,15,2011,"SAV","N","NO","F",1.5,1.5,74,"c(520889.7166",67.9067809245316,67.9067809245316,0,55.0709075740305,2.57457150518894,42.0894960002043,57.7415460632183,396.607105866075,290.082378476858,106.524727389216,230.7521523498,24.2588442824781,152.425002296863,182.460659132746,"SAV-N",33.565808
762,"761","Capture",11,16,2011,"SAV","E","NO","F",1.5,1.5,67,"c(527623.8779",116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,335.933331410386,253.868400673367,82.0649307370187,204.959889468722,47.142470896244,165.183775890619,217.381349314004,"SAV-N",30.390664
770,"771","Capture",11,16,2011,"SAV","E","NO","M",1.5,1.5,89,"c(528737.0279",116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,335.933331410386,253.868400673367,82.0649307370187,204.959889468722,47.142470896244,165.183775890619,217.381349314004,"SAV-N",40.369688
779,"780","Capture",11,16,2011,"SAV","E","NO","F",1.5,1.5,75,"c(528800.8653",116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,335.933331410386,253.868400673367,82.0649307370187,204.959889468722,47.142470896244,165.183775890619,217.381349314004,"SAV-N",34.0194
783,"784","Capture",11,16,2011,"SAV","E","NO","M",1.5,1.5,68,"c(528800.8653",116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,335.933331410386,253.868400673367,82.0649307370187,204.959889468722,47.142470896244,165.183775890619,217.381349314004,"SAV-N",30.844256
785,"786","Capture",11,16,2011,"SAV","E","NO","F",1.5,1.5,73,"c(528800.8653",116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,335.933331410386,253.868400673367,82.0649307370187,204.959889468722,47.142470896244,165.183775890619,217.381349314004,"SAV-N",33.112216
787,"788","Capture",11,16,2011,"SAV","E","NO","M",1.5,1.5,88,"c(528714.4639",116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,335.933331410386,253.868400673367,82.0649307370187,204.959889468722,47.142470896244,165.183775890619,217.381349314004,"SAV-N",39.916096
793,"798","Capture",11,16,2011,"SAV","E","NO","F",1.5,1.5,72,"c(529050.6974",116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,335.933331410386,253.868400673367,82.0649307370187,204.959889468722,47.142470896244,165.183775890619,217.381349314004,"SAV-N",32.658624
796,"797","Capture",11,16,2011,"SAV","E","NO","M",1.5,1.5,72,"c(529050.6974",116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,335.933331410386,253.868400673367,82.0649307370187,204.959889468722,47.142470896244,165.183775890619,217.381349314004,"SAV-N",32.658624
809,"810","Capture",11,16,2011,"SAV","E","NO","F",1.5,1.5,68,"c(529301.5175",116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,335.933331410386,253.868400673367,82.0649307370187,204.959889468722,47.142470896244,165.183775890619,217.381349314004,"SAV-N",30.844256
813,"814","Capture",11,16,2011,"SAV","E","NO","M",1.5,1.5,99,"c(527600.1763",116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,335.933331410386,253.868400673367,82.0649307370187,204.959889468722,47.142470896244,165.183775890619,217.381349314004,"SAV-N",44.905608
824,"825","Capture",11,16,2011,"SAV","E","NO","M",1.5,1.5,77,"c(527600.1763",116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,335.933331410386,253.868400673367,82.0649307370187,204.959889468722,47.142470896244,165.183775890619,217.381349314004,"SAV-N",34.926584
840,"841","Capture",11,16,2011,"SAV","E","NO","M",1.5,1.5,74,"c(526994.7562",116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,335.933331410386,253.868400673367,82.0649307370187,204.959889468722,47.142470896244,165.183775890619,217.381349314004,"SAV-N",33.565808
846,"847","Capture",11,16,2011,"SAV","E","NO","M",1.5,1.5,67,"c(526994.7562",116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,335.933331410386,253.868400673367,82.0649307370187,204.959889468722,47.142470896244,165.183775890619,217.381349314004,"SAV-N",30.390664
854,"855","Capture",11,16,2011,"SAV","E","NO","M",1.5,1.5,87,"c(526994.7562",116.555238572881,116.555238572881,0,97.706635260256,1.10611882177181,53.8701377571561,67.7988334889524,335.933331410386,253.868400673367,82.0649307370187,204.959889468722,47.142470896244,165.183775890619,217.381349314004,"SAV-N",39.462504
869,"868","Capture",11,16,2011,"SAV","E","NO","M",1.5,1.5,86,"c(526160.3765",101.998678922653,101.998678922653,0,83.9055562093854,0.654969938099384,64.5934818275273,78.9442862605211,375.989442642778,287.829543765634,88.1598988771439,199.193618204445,39.5505726337433,167.841795707122,212.782895470038,"SAV-N",39.008912
873,"874","Capture",11,16,2011,"SAV","E","NO","M",1.5,1.5,67,"c(526105.2544",101.998678922653,101.998678922653,0,83.9055562093854,0.654969938099384,64.5934818275273,78.9442862605211,375.989442642778,287.829543765634,88.1598988771439,199.193618204445,39.5505726337433,167.841795707122,212.782895470038,"SAV-N",30.390664
890,"889","Capture",11,16,2011,"SAV","E","NO","M",1.5,1.5,89,"c(525236.2755",101.998678922653,101.998678922653,0,83.9055562093854,0.654969938099384,64.5934818275273,78.9442862605211,375.989442642778,287.829543765634,88.1598988771439,199.193618204445,39.5505726337433,167.841795707122,212.782895470038,"SAV-N",40.369688
897,"898","Capture",11,16,2011,"SAV","E","NO","M",1.5,1.5,68,"c(525530.2796",101.998678922653,101.998678922653,0,83.9055562093854,0.654969938099384,64.5934818275273,78.9442862605211,375.989442642778,287.829543765634,88.1598988771439,199.193618204445,39.5505726337433,167.841795707122,212.782895470038,"SAV-N",30.844256
899,"900","Capture",11,16,2011,"SAV","E","NO","F",1.5,1.5,70,"c(525530.2796",101.998678922653,101.998678922653,0,83.9055562093854,0.654969938099384,64.5934818275273,78.9442862605211,375.989442642778,287.829543765634,88.1598988771439,199.193618204445,39.5505726337433,167.841795707122,212.782895470038,"SAV-N",31.75144
901,"902","Capture",11,16,2011,"SAV","E","NO","M",1.5,1.5,88,"c(526105.2544",101.998678922653,101.998678922653,0,83.9055562093854,0.654969938099384,64.5934818275273,78.9442862605211,375.989442642778,287.829543765634,88.1598988771439,199.193618204445,39.5505726337433,167.841795707122,212.782895470038,"SAV-N",39.916096
903,"904","Capture",11,16,2011,"SAV","E","NO","M",1.5,1.5,83,"c(526105.2544",101.998678922653,101.998678922653,0,83.9055562093854,0.654969938099384,64.5934818275273,78.9442862605211,375.989442642778,287.829543765634,88.1598988771439,199.193618204445,39.5505726337433,167.841795707122,212.782895470038,"SAV-N",37.648136
912,"913","Capture",11,16,2011,"SAV","E","NO","M",1.5,1.5,86,"c(524931.7258",101.998678922653,101.998678922653,0,83.9055562093854,0.654969938099384,64.5934818275273,78.9442862605211,375.989442642778,287.829543765634,88.1598988771439,199.193618204445,39.5505726337433,167.841795707122,212.782895470038,"SAV-N",39.008912
916,"917","Capture",11,16,2011,"SAV","E","NO","F",1.5,1.5,94,"c(524931.7258",101.998678922653,101.998678922653,0,83.9055562093854,0.654969938099384,64.5934818275273,78.9442862605211,375.989442642778,287.829543765634,88.1598988771439,199.193618204445,39.5505726337433,167.841795707122,212.782895470038,"SAV-N",42.637648
926,"927","Capture",11,16,2011,"SAV","E","NO","M",1.5,1.5,67,"c(524931.7258",101.998678922653,101.998678922653,0,83.9055562093854,0.654969938099384,64.5934818275273,78.9442862605211,375.989442642778,287.829543765634,88.1598988771439,199.193618204445,39.5505726337433,167.841795707122,212.782895470038,"SAV-N",30.390664
930,"931","Capture",11,16,2011,"SAV","E","NO","F",1.5,1.5,70,"c(524132.6265",89.4649389488623,89.4649389488623,0,74.2562205828727,0.760683868080378,52.871817371808,60.2867567578796,362.821792886592,268.505975962617,94.3158169239759,198.990633413196,33.5490409880877,157.155544780544,196.312601186684,"SAV-N",31.75144
952,"953","Capture",11,16,2011,"SAV","E","NO","F",1.5,1.5,74,"c(524701.579",101.998678922653,101.998678922653,0,83.9055562093854,0.654969938099384,64.5934818275273,78.9442862605211,375.989442642778,287.829543765634,88.1598988771439,199.193618204445,39.5505726337433,167.841795707122,212.782895470038,"SAV-N",33.565808
958,"959","Capture",11,16,2011,"SAV","E","NO","F",1.5,1.5,64,"c(524701.579",101.998678922653,101.998678922653,0,83.9055562093854,0.654969938099384,64.5934818275273,78.9442862605211,375.989442642778,287.829543765634,88.1598988771439,199.193618204445,39.5505726337433,167.841795707122,212.782895470038,"SAV-N",29.029888
975,"976","Capture",11,17,2011,"SAV","S","NO","F",1.5,1.5,75,"c(522335.0424",110.754919360159,110.754919360159,0,103.379253666848,0.717474292963743,49.2563082277775,105.087985675782,430.740383028853,310.874013542997,119.866369485855,251.020741973152,41.6401936432594,94.5481225186304,141.887373059842,"SAV-S",34.0194
977,"978","Capture",11,17,2011,"SAV","S","NO","F",1.5,1.5,78,"c(522335.0424",110.754919360159,110.754919360159,0,103.379253666848,0.717474292963743,49.2563082277775,105.087985675782,430.740383028853,310.874013542997,119.866369485855,251.020741973152,41.6401936432594,94.5481225186304,141.887373059842,"SAV-S",35.380176
983,"984","Capture",11,17,2011,"SAV","S","NO","M",1.5,1.5,107,"c(522350.7429",110.754919360159,110.754919360159,0,103.379253666848,0.717474292963743,49.2563082277775,105.087985675782,430.740383028853,310.874013542997,119.866369485855,251.020741973152,41.6401936432594,94.5481225186304,141.887373059842,"SAV-S",48.534344
1019,"1020","Capture",11,17,2011,"SAV","S","NO","F",1.5,1.5,54,"c(522534.7905",102.996174775646,102.996174775646,0,87.8026561688166,0.768294001696631,59.3215745985508,117.166684119729,480.246243284433,348.707993195741,131.538250088692,246.724673092365,36.5504234842956,115.836149556562,157.97227971442,"SAV-S",24.493968
1085,"1086","Capture",11,17,2011,"SAV","S","NO","F",1.5,1.5,83,"c(521256.5285",94.6108051091433,94.6108051091433,0,71.2297158986331,1.26224142313004,61.8357282280922,124.43631731905,417.564892936032,305.682676661294,111.882216274738,199.486171891447,24.3126585385762,137.385828194674,167.02052751556,"SAV-S",37.648136
1095,"1096","Capture",11,17,2011,"SAV","S","NO","M",1.5,1.5,87,"c(520808.4588",94.6108051091433,94.6108051091433,0,71.2297158986331,1.26224142313004,61.8357282280922,124.43631731905,417.564892936032,305.682676661294,111.882216274738,199.486171891447,24.3126585385762,137.385828194674,167.02052751556,"SAV-S",39.462504
1115,"1116","Capture",11,17,2011,"SAV","S","NO","F",1.5,1.5,90,"c(521445.9304",94.6108051091433,94.6108051091433,0,71.2297158986331,1.26224142313004,61.8357282280922,124.43631731905,417.564892936032,305.682676661294,111.882216274738,199.486171891447,24.3126585385762,137.385828194674,167.02052751556,"SAV-S",40.82328
